3830112 DEBUG [2019-06-30 09:27:07]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
3830112 DEBUG [2019-06-30 09:27:07]  Successfully completed request
3830112 DEBUG [2019-06-30 09:27:07]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@517620cd
3833276 DEBUG [2019-06-30 09:27:10]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@517620cd
3833276 DEBUG [2019-06-30 09:27:10]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/likeSearch]
3833277 DEBUG [2019-06-30 09:27:10]  Looking up handler method for path /organization/company/likeSearch
3833277 DEBUG [2019-06-30 09:27:10]  Returning handler method [public java.util.Map<java.lang.String, java.lang.Object> com.ehr.controller.organization.company.CompanyController.likeSearch(java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)]
3833277 DEBUG [2019-06-30 09:27:10]  Returning cached instance of singleton bean 'companyController'
3833277 DEBUG [2019-06-30 09:27:10]  Skip CORS processing: request is from same origin
3833280 DEBUG [2019-06-30 09:27:10]  Fetching JDBC Connection from DataSource
3833283 DEBUG [2019-06-30 09:27:10]  Fetching JDBC Connection from DataSource
3833287 DEBUG [2019-06-30 09:27:10]  Written [{code=0, data=PageInfo{pageNum=1, pageSize=10, size=2, startRow=1, endRow=2, total=2, pages=1, list=Page{count=true, pageNum=1, pageSize=10, startRow=0, endRow=10, total=2, pages=1, reasonable=false, pageSizeZero=false}[Company{id=10, name='10暗', address='321', mark='3', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=12, name='12', address='2', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}], prePage=0, nextPage=0, isFirstPage=true, isLastPage=true, hasPreviousPage=false, hasNextPage=false, navigatePages=8, navigateFirstPage=1, navigateLastPage=1, navigatepageNums=[1]}, count=PageInfo{pageNum=1, pageSize=10, size=2, startRow=1, endRow=2, total=2, pages=1, list=Page{count=true, pageNum=1, pageSize=10, startRow=0, endRow=10, total=2, pages=1, reasonable=false, pageSizeZero=false}[Company{id=10, name='10暗', address='321', mark='3', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=12, name='12', address='2', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}], prePage=0, nextPage=0, isFirstPage=true, isLastPage=true, hasPreviousPage=false, hasNextPage=false, navigatePages=8, navigateFirstPage=1, navigateLastPage=1, navigatepageNums=[1]}}] as "application/json" using [org.springframework.http.converter.json.MappingJackson2HttpMessageConverter@6c9f8b46]
3833287 DEBUG [2019-06-30 09:27:10]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
3833287 DEBUG [2019-06-30 09:27:10]  Successfully completed request
3833287 DEBUG [2019-06-30 09:27:10]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@517620cd
3835046 DEBUG [2019-06-30 09:27:12]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@517620cd
3835047 DEBUG [2019-06-30 09:27:12]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/likeSearch]
3835047 DEBUG [2019-06-30 09:27:12]  Looking up handler method for path /organization/company/likeSearch
3835047 DEBUG [2019-06-30 09:27:12]  Returning handler method [public java.util.Map<java.lang.String, java.lang.Object> com.ehr.controller.organization.company.CompanyController.likeSearch(java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)]
3835047 DEBUG [2019-06-30 09:27:12]  Returning cached instance of singleton bean 'companyController'
3835048 DEBUG [2019-06-30 09:27:12]  Skip CORS processing: request is from same origin
3835051 DEBUG [2019-06-30 09:27:12]  Fetching JDBC Connection from DataSource
3835055 DEBUG [2019-06-30 09:27:12]  Fetching JDBC Connection from DataSource
